,size,times
1996,356,3485.0
1997,102,16561.0
1998,96,20014.0
2000,66,463.0
2011,102,10628.0
2012,96,17724.0
2013,97,19840.0
2019,415,1525.0
2020,475,3887.0
2022,66,481.0
2023,98,17500.0
2024,103,19876.0
2027,99,14550.0
2028,98,22573.0
2029,99,20000.0
2030,347,11823.0
2033,82,1887.0
2035,94,1736.0
2036,93,19920.0
2037,100,20231.0
2039,66,460.0
2041,101,870.0
2042,80,275.0
2044,93,15096.0
2045,97,20250.0
2046,436,5561.0
2047,777,14095.0
2051,66,457.0
2052,105,5148.0
2053,99,19889.0
2054,98,20047.0
2057,95,10824.0
2058,97,16727.0
2059,431,3202.0
2060,97,16969.0
2063,99,8017.0
2064,94,20156.0
2065,100,22471.0
2067,66,339.0
2071,96,6578.0
2072,384,7141.0
2073,98,12087.0
2074,96,19803.0
2077,99,7148.0
2078,98,19860.0
2079,99,20095.0
2082,99,4198.0
2083,221,4864.0
2084,489,13871.0
2085,96,19848.0
2086,98,19735.0
2090,101,6470.0
2091,97,22221.0
2092,98,19431.0
2095,94,6404.0
2096,93,19966.0
2097,93,20566.0
2099,66,484.0
2102,92,8431.0
2103,95,20918.0
2104,271,14395.0
2105,92,4824.0
2109,118,2708.0
2110,100,4265.0
2111,94,19812.0
2112,97,21686.0
2115,99,9971.0
2116,98,18049.0
2117,92,19694.0
2120,93,6263.0
2121,96,22882.0
2122,91,20196.0
2125,97,4467.0
2126,779,13573.0
2127,835,5257.0
2128,100,19860.0
2129,104,20123.0
2133,90,10710.0
2134,97,17147.0
2135,96,19952.0
2139,910,172.0
2140,74,805.0
2141,74,971.0
2142,101,3524.0
2143,96,19491.0
2144,101,20452.0
2145,97,19937.0
2149,101,2083.0
2150,100,19420.0
2151,685,10131.0
2152,103,7518.0
2153,103,19961.0
2156,96,4893.0
2157,106,19710.0
2158,105,23113.0
2159,107,19269.0
2161,66,545.0
2165,102,15647.0
2166,102,17627.0
2167,108,19681.0
2172,66,605.0
2173,100,4754.0
2174,95,21687.0
2175,690,12361.0
2176,967,5783.0
2179,98,5734.0
2180,99,19496.0
2181,103,20411.0
2182,104,22333.0
2186,105,10017.0
2187,100,17914.0
2188,104,19804.0
2191,97,6519.0
2192,102,21411.0
2193,94,19458.0
2194,1018,14296.0
2195,101,5237.0
2198,100,8564.0
2199,102,19482.0
2200,99,19799.0
2204,102,10482.0
2205,98,17773.0
2206,102,20997.0
2209,108,4619.0
2210,107,20455.0
2211,522,1852.0
2212,1087,17671.0
2214,66,398.0
2218,109,3279.0
2220,104,4528.0
2221,111,22923.0
2222,119,19832.0
2223,112,20347.0
2227,116,5518.0
2228,111,20518.0
2229,655,14149.0
2231,110,23.0
2232,66,328.0
2233,70,232.0
2236,116,6839.0
2237,110,19754.0
2238,111,20104.0
2240,111,6496.0
2241,107,17639.0
2242,105,19655.0
2243,103,20137.0
2247,1362,873.0
2248,186,368.0
2249,82,567.0
2250,82,130.0
2251,1426,4032.0
2252,100,19602.0
2253,98,19910.0
2257,100,4326.0
2258,109,20229.0
2259,110,22441.0
2261,105,11595.0
2265,100,11065.0
2266,95,19246.0
2267,98,18094.0
2271,960,4873.0
2272,98,372.0
2273,94,19624.0
2274,66,10671.0
2275,95,9274.0
2279,98,5383.0
2280,95,22677.0
2281,95,20256.0
2283,66,510.0
2284,99,16256.0
2287,98,6642.0
2288,96,19688.0
2289,102,22263.0
2290,99,17638.0
2294,100,2683.0
2295,1167,2103.0
2296,1231,17805.0
2297,97,19687.0
2298,100,20197.0
2303,93,7004.0
2304,96,20960.0
2305,1071,14760.0
2306,94,3182.0
2309,96,3365.0
2310,99,20175.0
2311,102,20074.0
